"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU98"	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Glomerellaceae"
"OTU99"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Volutella"
"OTU100"	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Hannaella,s:Hannaella siamensis"
"OTU101"	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora"
"OTU103"	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales"
"OTU104"	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Talaromyces,s:Talaromyces sayulitensis"
"OTU105"	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	"k:Fungi"
"OTU106"	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae"
"OTU107"	0	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
"OTU108"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,g:Xenobotrytis,s:Xenobotrytis acaducospora"
"OTU109"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Stachybotryaceae,g:Paramyrothecium,s:Paramyrothecium foliicola"
"OTU110"	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Volutella,s:Volutella consors"
"OTU111"	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Glomerellaceae,g:Colletotrichum"
"OTU112"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
"OTU113"	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Diaporthaceae,g:Diaporthe"
"OTU114"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales,f:Orbiliaceae,g:Orbilia"
"OTU115"	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
"OTU116"	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,g:Fusidium"
"OTU118"	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Cladosporiaceae,g:Cladosporium"
"OTU119"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales"
"OTU120"	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	"k:Fungi,p:Ascomycota"
"OTU121"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala,s:Exophiala moniliae"
"OTU123"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Sympoventuriaceae,g:Ochroconis"
"OTU125"	0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales"
"OTU126"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"k:Fungi,p:Ascomycota"
