"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU60"	0	0	0	0	0	0	0	0	0	0	0	0	0	1098	0	0	"k__Bacteria; p__Candidatus_Saccharibacteria; c__; o__; f__; g__Saccharibacteria_genera_incertae_sedis"
"OTU61"	0	0	0	0	0	0	0	0	1287	975	78	0	0	209	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Pseudoduganella"
"OTU62"	0	0	0	0	0	0	0	0	220	204	0	63	207	819	0	21	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Dyella"
"OTU63"	0	0	0	0	0	0	0	51	61	797	1659	0	28	192	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas"
"OTU64"	0	0	0	0	0	0	0	0	26	13	22	0	136	1222	72	19	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Roseiarcaceae; g__Roseiarcus"
"OTU65"	0	0	0	0	0	0	0	0	0	0	155	52	18	1931	596	51	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia"
"OTU66"	0	0	0	0	0	0	75	1083	96	114	118	762	225	486	376	582	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium"
"OTU67"	0	0	0	0	0	0	0	0	691	1050	36	154	28	24	0	0	"k__Bacteria; p__\"Bacteroidetes\"; c__Sphingobacteriia; o__\"Sphingobacteriales\"; f__Chitinophagaceae; g__Niastella"
"OTU68"	0	0	0	0	0	0	0	0	67	8	95	74	354	481	74	919	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp1; o__; f__; g__Terriglobus"
"OTU69"	0	0	0	0	0	0	0	0	0	0	0	1387	1312	23	0	125	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Catenulisporaceae; g__Catenulispora"
"OTU71"	0	0	0	0	0	0	32	0	23	12	91	60	162	679	1232	162	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp3; o__; f__; g__Gp3"
"OTU72"	0	0	0	0	0	0	0	0	43	979	217	0	20	110	0	313	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas"
"OTU73"	0	0	0	0	0	0	0	0	39	30	0	26	1555	26	47	32	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Phytohabitans"
"OTU74"	0	0	0	0	0	0	0	0	109	66	5	84	745	40	0	32	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Lacibacterium"
"OTU75"	0	0	0	0	0	0	0	0	6	5	36	49	24	20	164	1243	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Dokdonella"
"OTU76"	0	0	0	0	0	0	0	0	29	33	4	63	731	46	0	27	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Rhodobiaceae"
"OTU77"	0	0	0	0	0	0	0	0	107	122	71	632	1289	326	78	965	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces"
"OTU78"	0	0	0	0	43	0	6	185	224	410	153	74	141	377	7	27	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bosea"
"OTU79"	0	0	0	0	0	0	0	0	636	1819	1822	0	0	55	0	120	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__\"Enterobacteriales\"; f__Enterobacteriaceae; g__Kluyvera"
"OTU80"	0	0	0	0	0	0	0	0	79	46	0	8	0	560	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Rudaea"
"OTU81"	0	0	0	0	0	0	0	0	59	52	0	35	1127	27	31	0	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae"
