#OTU_ID	V1.ITS	V2.ITS	V3.ITS	V4.ITS	V5.ITS	V6.ITS	V7.ITS	V8.ITS	V9.ITS	V10.ITS	V11.ITS	V12.ITS	V13.ITS	V14.ITS	V15.ITS	V16.ITS	taxonomy
New.CleanUp.ReferenceOTU140	0	0	0	0	22	0	0	14	7	0	15	7	0	0	57	9	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Zymoseptoria; s__Zymoseptoria_brevis
New.CleanUp.ReferenceOTU141	0	0	0	0	19	0	0	0	0	0	0	94	0	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Thanatephorus; s__Thanatephorus_cucumeris
New.CleanUp.ReferenceOTU142	0	0	0	0	613	32	0	0	0	0	0	0	0	0	59	10	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Cyphellophoraceae; g__Cyphellophora; s__Cyphellophora_guyanensis
New.CleanUp.ReferenceOTU149	0	0	0	0	572	8	0	0	0	0	17	9	0	0	30	0	Unclassified
New.CleanUp.ReferenceOTU150	0	0	0	0	7	7	0	0	0	0	0	0	0	6	8	10	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleribasidiaceae; g__Vishniacozyma
New.CleanUp.ReferenceOTU153	0	0	0	0	8	9471	0	0	0	22	19	106	7	0	14	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Thermoascaceae; g__Byssochlamys; s__Byssochlamys_spectabilis
New.CleanUp.ReferenceOTU164	0	0	0	0	640	0	0	0	0	0	64	0	24	58	0	20	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Neodevriesiaceae; g__Neodevriesia; s__Neodevriesia_pakbiae
New.CleanUp.ReferenceOTU166	0	0	0	0	7	21	0	0	0	0	34	7	0	36	0	0	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cystobasidiales; f__Cystobasidiaceae; g__Occultifur
New.CleanUp.ReferenceOTU176	0	0	0	0	11	0	0	5	33	0	50	12	5	12	7	19	Unclassified
New.CleanUp.ReferenceOTU178	0	0	0	0	19	0	0	13	10	0	6	31	0	8	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__Phyllostictaceae; g__Phyllosticta; s__Phyllosticta_capitalensis
New.CleanUp.ReferenceOTU182	0	0	0	0	5	170	0	0	0	107	127	14	5	819	0	108	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Arthopyreniaceae; g__unidentified; s__unidentified
New.CleanUp.ReferenceOTU184	0	0	0	0	9	31	0	0	0	7	0	0	0	30	397	32381	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium
New.CleanUp.ReferenceOTU46	0	0	0	0	0	255	0	7	91	0	523	28	12	0	13	5	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Glomerellaceae; g__Colletotrichum; s__Colletotrichum_gigasporum
New.CleanUp.ReferenceOTU57	0	0	0	0	0	7	0	7	0	0	0	13	0	0	0	0	k__Fungi; p__Ascomycota
New.CleanUp.ReferenceOTU60	0	0	0	0	0	13	0	6	67	0	15	8	13	7	34	27	k__Fungi; p__Ascomycota; c__Dothideomycetes
New.CleanUp.ReferenceOTU61	0	0	0	0	0	6	5	0	0	8	5	27	15	0	151	14	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleribasidiaceae; g__Vishniacozyma; s__Vishniacozyma_taibaiensis
New.CleanUp.ReferenceOTU70	0	0	0	0	0	14	0	0	7	0	21	0	9	92	17	27	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
New.CleanUp.ReferenceOTU73	0	0	0	0	0	16	0	0	6	12378	5	327	0	0	44	6	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Pseudorobillarda
New.CleanUp.ReferenceOTU74	0	0	0	0	0	135	0	0	0	3184	0	0	31	0	6	59	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
