#OTU ID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	Taxonomy
OTU77	0	0	0	0	0	0	0	0	0	71	2227	0	48	0	0	108	GS|100.0|KU977858|SH1563286.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
OTU78	0	0	0	0	35	0	0	51	0	0	16	0	1952	17	46	0	GS|98.0|JN116685|SH1645871.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU79	0	0	0	0	0	0	0	0	0	0	0	0	0	1333	0	0	GSL|97.3|KT215205|SH1507830.08FU;k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales,f:Orbiliaceae,g:Arthrobotrys,s:Arthrobotrys entomopaga
OTU81	0	0	0	0	0	135	0	0	0	0	0	960	10	535	0	0	GSL|100.0|MN540238|SH1543709.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Glomerellaceae,g:Colletotrichum
OTU82	0	0	1174	0	0	0	0	36	0	0	0	0	0	55	0	71	GSL|100.0|MG571394|SH1888874.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Pseudopithomyces
OTU83	0	0	0	0	6	0	0	0	0	0	34	41	119	94	1303	408	GSL|100.0|MG878122|SH1507501.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Botryosphaeriales,f:Botryosphaeriaceae,g:Lasiodiplodia
OTU84	0	0	0	0	0	0	0	0	0	0	1875	0	0	0	0	0	GS|100.0|AF210670|SH1522837.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Bionectria,s:Bionectria setosa
OTU85	0	0	1371	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|KU500565|SH1573987.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Torulaceae,g:Dendryphion
OTU86	0	0	0	0	0	0	0	0	0	0	0	53	25	1587	0	0	GS|98.3|KU574716|SH1574084.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaetopsis
OTU87	268	0	0	0	0	0	0	473	0	0	170	208	23	1249	11	19	GS|100.0|HQ262498|SH1556685.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Coniosporium
