"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU114"	0	0	1110	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales,f:Orbiliaceae,g:Orbilia"
"OTU115"	0	1628	0	0	0	0	469	17	0	0	0	33	0	34	0	18	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
"OTU116"	0	0	0	0	0	37	0	0	272	0	551	0	86	55	0	250	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,g:Fusidium"
"OTU118"	0	324	4	136	1024	1801	0	5	0	0	6	0	158	124	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Cladosporiaceae,g:Cladosporium"
"OTU119"	0	0	0	0	0	0	0	0	0	0	0	1608	0	0	0	0	"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales"
"OTU120"	0	0	0	0	0	0	0	266	0	0	0	0	0	13	2973	0	"k:Fungi,p:Ascomycota"
"OTU121"	0	0	0	0	0	0	0	0	0	0	0	0	4	804	0	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala,s:Exophiala moniliae"
"OTU123"	0	0	0	0	0	0	0	0	0	0	555	0	0	0	0	15	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Sympoventuriaceae,g:Ochroconis"
"OTU125"	0	63	0	271	4803	1179	0	0	0	0	0	24	41	18	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales"
"OTU126"	0	0	0	0	0	0	0	0	0	0	0	1647	0	0	0	0	"k:Fungi,p:Ascomycota"
"OTU127"	0	0	0	0	0	0	0	0	0	0	58	0	0	0	2313	0	"k:Fungi"
"OTU128"	78	0	0	0	0	12	376	23	0	0	0	57	65	239	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Plectosphaerellaceae"
"OTU129"	0	0	0	0	0	0	0	0	0	55	486	0	0	0	91	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Calonectria"
"OTU130"	0	0	7	800	251	1912	0	6	0	0	6	0	35	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Botryosphaeriales,f:Phyllostictaceae,g:Phyllosticta"
"OTU131"	0	0	0	0	0	0	65	193	0	0	54	122	112	751	40	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Plectosphaerellaceae,g:Chordomyces,s:Chordomyces antarcticus"
"OTU132"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2258	0	"k:Fungi,p:Ascomycota,c:Orbiliomycetes"
"OTU133"	0	0	0	0	0	2011	0	0	30	0	87	16	39	722	160	15	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Stephanonectria,s:Stephanonectria keithii"
"OTU134"	0	0	931	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,g:Neophaeococcomyces"
"OTU135"	0	0	0	0	1827	251	0	0	24	0	359	315	302	454	26	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora"
"OTU136"	0	0	0	0	387	30	0	1909	0	0	16	519	81	36	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Sporocadaceae,g:Pestalotiopsis,s:Pestalotiopsis mangifolia"
"OTU137"	0	0	0	0	7976	0	0	0	0	0	19	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes"
"OTU138"	0	351	0	0	0	0	0	327	0	0	188	76	23	36	37	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Halosphaeriaceae"
"OTU139"	0	0	688	0	0	0	0	0	0	0	0	0	0	3	0	0	"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora"
"OTU140"	0	0	0	0	0	0	0	1090	0	0	0	0	0	0	106	16	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium polychromum"
"OTU141"	0	0	712	0	0	0	0	0	0	0	62	0	0	0	22	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
"OTU142"	0	0	0	0	126	0	0	0	27	0	134	113	63	596	33	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium brachypenium"
"OTU143"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1844	0	"k:Fungi"
"OTU145"	0	0	0	0	0	0	0	0	7	174	0	118	168	0	0	322	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales"
"OTU146"	0	0	0	0	0	0	211	0	0	0	0	0	6	166	0	0	"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Hannaella,s:Hannaella oryzae"
"OTU147"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	849	"k:Fungi,p:Ascomycota,c:Sordariomycetes"
"OTU148"	0	0	0	0	0	0	0	0	57	0	214	784	0	277	0	0	"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Trechisporales,f:Hydnodontaceae,g:Subulicystidium"
"OTU149"	0	0	0	0	0	0	0	0	77	0	286	267	5	323	22	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
"OTU150"	0	0	0	0	0	133	0	0	0	0	479	0	0	0	0	22	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaeta"
"OTU151"	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Dictyosporiaceae,g:Dictyosporium,s:Dictyosporium heptasporum"
"OTU152"	0	0	0	0	0	0	0	0	0	0	0	7	375	0	0	0	"k:Fungi"
"OTU153"	0	0	0	0	0	0	0	0	0	0	323	0	0	0	0	141	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales"
"OTU154"	0	279	0	3440	3425	0	0	5	0	0	0	42	112	3	66	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Trichosphaeriales,f:Trichosphaeriaceae,g:Nigrospora"
"OTU155"	0	0	0	0	0	0	0	0	0	4	245	81	15	55	657	7	"k:Fungi,p:Ascomycota,c:Orbiliomycetes"
"OTU156"	0	0	0	0	0	0	0	21	0	0	342	0	0	164	273	18	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusicolla"
"OTU157"	0	0	693	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales,f:Orbiliaceae,g:Orbilia"
"OTU158"	0	0	0	0	0	0	0	90	73	0	0	59	33	365	240	16	"k:Fungi,p:Ascomycota,c:Dothideomycetes"
"OTU159"	0	0	0	0	0	0	0	0	0	0	276	0	0	4	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Microdochiaceae"
